station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
784575-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_784575-99999.nc.gz
784575-99999,RSS,wind direction straight string,864,75,0.08680555555555555,789,1,full,864,75,0.08680555555555555,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_784575-99999.nc.gz
787421-99999,TSS,temperature straight string,72760,15,0.00020615722924683893,72745,0,full,72760,15,0.00020615722924683893,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_787421-99999.nc.gz
787421-99999,DSS,dew point straight string,71879,0,0.0,71879,0,full,71879,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_787421-99999.nc.gz
787421-99999,WSS,wind speed straight string,72701,0,0.0,72701,0,full,72701,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_787421-99999.nc.gz
787421-99999,PSS,sea-level pressure straight string,3116,0,0.0,3116,0,full,3116,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_787421-99999.nc.gz
787421-99999,RSS,wind direction straight string,82,0,0.0,82,0,full,82,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_787421-99999.nc.gz
788461-99999,TSS,temperature straight string,74927,138,0.001841792678206788,74789,1,full,74927,138,0.001841792678206788,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_788461-99999.nc.gz
788461-99999,DSS,dew point straight string,69216,0,0.0,69216,0,full,69216,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_788461-99999.nc.gz
788461-99999,WSS,wind speed straight string,74972,32,0.00042682601504561704,74940,0,full,74972,32,0.00042682601504561704,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_788461-99999.nc.gz
788461-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_788461-99999.nc.gz
788461-99999,RSS,wind direction straight string,5283,0,0.0,5283,0,full,5283,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_788461-99999.nc.gz
789460-99999,TSS,temperature straight string,36681,0,0.0,36681,0,full,36681,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_789460-99999.nc.gz
789460-99999,DSS,dew point straight string,25689,0,0.0,25689,0,full,25689,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_789460-99999.nc.gz
789460-99999,WSS,wind speed straight string,36730,0,0.0,36730,0,full,36730,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_789460-99999.nc.gz
789460-99999,PSS,sea-level pressure straight string,34514,0,0.0,34514,0,full,34514,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_789460-99999.nc.gz
789460-99999,RSS,wind direction straight string,367,360,0.9809264305177112,7,0,full,367,360,0.9809264305177112,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_789460-99999.nc.gz
