panel,station_id,label_code,label,epsilon,seed,method,calibration,n_rows,positive_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec,selected_by_auprc
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,1,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.21021099061639603,0.0002872177212201407,0.0,22,1.0,0.07821177199366502,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,1,privsaf_mixture,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.19539341836639135,0.0002490145626295879,0.0,14,0.01,0.007250321010360494,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,1,privsaf_hmm,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.7511448558745856,0.0008002643593336273,0.0,29,0.12959018472190198,0.33503790901158936,1
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,2,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.1267980558521099,0.00023255031829551596,0.0,22,1.0,0.07829804299399257,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,2,privsaf_mixture,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.11150989867206083,0.00023035880489151916,0.0,15,0.01,0.0074439280142541975,0
hadisd_real_streak_pmldp,702606-96401,DSS,dew point straight string,4.0,2,privsaf_hmm,all_nonflagged_nonlabel_rows,32869,13,0.0003955094465910128,-29.0,13.0,0.7299240508699968,0.0007389836192536735,0.0,29,0.13904705801674835,0.33503186600864865,1
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,0,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.8210274327122153,0.45361188826969967,0.4642857142857143,0,1.0,0.0017039819795172662,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,0,privsaf_mixture,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.8423654244306418,0.5184364063090999,0.5357142857142857,15,0.19,0.005217094003455713,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,0,privsaf_hmm,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9784290890269152,0.919905016242458,0.8714285714285714,15,0.18207072752025957,0.007146184972953051,1
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,1,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.8202833850931677,0.4304826962533565,0.5,0,1.0,0.001624302996788174,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,1,privsaf_mixture,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.7793413561076604,0.36406916615715246,0.32142857142857145,27,0.16,0.005297394993249327,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,1,privsaf_hmm,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9631340579710145,0.8967542804757788,0.7785714285714286,16,0.17135711511604843,0.007294140988960862,1
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,2,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.7966485507246377,0.4315064072750655,0.42857142857142855,0,1.0,0.0016722939908504486,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,2,privsaf_mixture,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.827639751552795,0.5209903681535001,0.5285714285714286,15,0.21,0.004901040985714644,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,2.0,2,privsaf_hmm,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9781314699792961,0.9025609938194856,0.8357142857142857,15,0.22382904338739723,0.007301525998627767,1
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,0,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.877930900621118,0.4885841408658631,0.5571428571428572,0,1.0,0.0016922659997362643,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,0,privsaf_mixture,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9230266563146998,0.709742159949305,0.65,15,0.18,0.00536433098022826,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,0,privsaf_hmm,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9671972049689441,0.8921310642793747,0.7857142857142857,15,0.15092108827665682,0.007091767009114847,1
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,1,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.8627976190476191,0.4603756590471724,0.5071428571428571,0,1.0,0.0016307389887515455,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,1,privsaf_mixture,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9137163561076604,0.720698116530625,0.6,16,0.17,0.005246101994998753,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,1,privsaf_hmm,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9565864389233955,0.8609503456551885,0.7357142857142858,16,0.14486919114083094,0.007192676013801247,1
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,2,pm_column_likelihood_scan,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.8940087991718426,0.5287294611895355,0.5857142857142857,0,1.0,0.0016468339890707284,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,2,privsaf_mixture,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9337344720496894,0.7700635792159559,0.65,15,0.16,0.005012848996557295,0
hadisd_real_streak_pmldp,702606-96401,RSS,wind direction straight string,4.0,2,privsaf_hmm,all_nonflagged_nonlabel_rows,692,140,0.2023121387283237,0.0,360.0,0.9709239130434782,0.9026126187318783,0.7928571428571428,15,0.14980514806381098,0.0071416090067941695,1
