panel,dataset_id,dataset,epsilon,seed,fault_mode,n_test,fault_rate,true_bucket,method,auroc,auprc,runtime_sec,estimated_bucket,bucket_hit,estimated_fault_rate
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,2,template_stuck,1799,0.2001111728738188,0,channel_llr_cusum,0.5483244537101383,0.23022001196807684,0.0040852999954950064,0,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,2,template_stuck,1799,0.2001111728738188,0,channel_window_glr_scan,0.6014776851208401,0.2696100603933296,0.02129050000803545,0,1.0,0.19566425792106726
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,2,template_stuck,1799,0.2001111728738188,0,generic_pm_hmm,0.6553432167400202,0.26687570854190834,0.3098807000060333,1,0.0,0.5166724980783993
channel_baseline_ablation,air_quality,UCI Air Quality,2.0,2,template_stuck,1799,0.2001111728738188,0,privsaf_matched_hmm,0.6592116438885028,0.2575564053960723,0.5061940999876242,1,0.0,0.4136507852409456
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.5491776696780171,0.23317886927104653,0.00042379999649710953,0,0.0,0.1434130072262368
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.5174465292255425,0.2114960195406329,0.0040317999955732375,0,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,1,channel_window_glr_scan,0.4688421743494711,0.1877479655506158,0.026377400005003437,1,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,1,generic_pm_hmm,0.5127326075206549,0.1973284270843519,0.3373442000010982,1,1.0,0.5752406737380248
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,1,privsaf_matched_mixture,0.7997278202455409,0.4246410883656656,0.011763000002247281,1,1.0,0.38636363636363635
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,22,channel_likelihood_scan,0.9032285151725735,0.6025094542321148,0.0004608000017469749,0,0.0,0.14841578654808227
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,22,channel_llr_cusum,0.518566133889275,0.2127399179294026,0.004123800012166612,23,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,22,channel_window_glr_scan,0.49964771060149793,0.19112821363650676,0.022971500002313405,0,0.0,0.19177320733740968
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,22,generic_pm_hmm,0.5821403752605976,0.3076026792763581,0.3328763000026811,1,0.0,0.8256257095164629
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,iid_stuck,1799,0.2001111728738188,22,privsaf_matched_mixture,0.9524949810825418,0.8405647245999748,0.011350300002959557,22,1.0,0.18424242424242424
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.5730040151339664,0.2431080509998799,0.00043069999082945287,0,0.0,0.15063924402445802
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.3057891282526446,0.1375728700461882,0.004338800004916266,0,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,1,channel_window_glr_scan,0.9031696394100842,0.5961902228058019,0.023913400000310503,1,1.0,0.19955530850472486
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,1,generic_pm_hmm,0.9360802254652151,0.7457345119687889,0.3228277999878628,1,1.0,0.4348771293870274
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,1,privsaf_matched_hmm,0.9543432939541348,0.8303310870653201,0.49998670000059064,1,1.0,0.382791399579348
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,22,channel_likelihood_scan,0.8983592000617712,0.6044452909685403,0.00042719999328255653,0,0.0,0.1423012784880489
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,22,channel_llr_cusum,0.3128831750443981,0.14039350754288407,0.00424560000828933,22,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,22,channel_window_glr_scan,0.949976835765578,0.7791386611739066,0.02105600001232233,22,1.0,0.1962201222901612
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,22,generic_pm_hmm,0.9995540884873755,0.998276771258553,0.3139856000052532,22,1.0,0.21412403371162167
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,segment_stuck,1799,0.2001111728738188,22,privsaf_matched_hmm,0.9997760790672535,0.9991413825347581,0.5027211999986321,22,1.0,0.20472945172642965
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,template_stuck,1799,0.2001111728738188,0,channel_likelihood_scan,0.7146465523897768,0.3311331346283596,0.0004495000030146912,0,1.0,0.18565869927737633
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,template_stuck,1799,0.2001111728738188,0,channel_llr_cusum,0.43800671762798243,0.18860939902707224,0.004332800002885051,0,1.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,template_stuck,1799,0.2001111728738188,0,channel_window_glr_scan,0.7169784186549302,0.3568995996482332,0.021554599996306933,0,1.0,0.19955530850472486
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,template_stuck,1799,0.2001111728738188,0,generic_pm_hmm,0.8248706663578101,0.4880222889171429,0.3114521999959834,0,1.0,0.5452233317032069
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,0,template_stuck,1799,0.2001111728738188,0,privsaf_matched_hmm,0.885001158211721,0.5689738398684092,0.4967892999993637,0,1.0,0.3758051797365923
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,1,iid_stuck,1799,0.2001111728738188,1,channel_likelihood_scan,0.569886495251332,0.25028727680121177,0.00046409999777097255,0,0.0,0.15730961645358532
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,1,iid_stuck,1799,0.2001111728738188,1,channel_llr_cusum,0.524372635317736,0.2155414741005113,0.0039890000043669716,0,0.0,0.2001111728738188
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,1,iid_stuck,1799,0.2001111728738188,1,channel_window_glr_scan,0.5068575785653617,0.20170411548251815,0.021019699997850694,1,1.0,0.19399666481378544
channel_baseline_ablation,air_quality,UCI Air Quality,4.0,1,iid_stuck,1799,0.2001111728738188,1,generic_pm_hmm,0.5537834916222686,0.22247073788455063,0.31446860000141896,1,1.0,0.5481273388880172
