panel,tier,method,epsilon,buckets,cases,runs,total_test_rows,total_fault_rows,pooled_fault_rate,case_mean_fault_rows,case_mean_auroc,case_mean_auprc,case_mean_auprc_ci95_low,case_mean_auprc_ci95_high,mean_recall_at_5pct_fpr,mean_precision_at_top_5pct
coops_verified_flat_full_protocol,support_5_to_24,channel_point_glr,2.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5014157354107619,0.0019238279594469962,0.0016069862422677186,0.0022517361877479815,0.04359126271181608,0.0010880211485050195
coops_verified_flat_full_protocol,support_5_to_24,privsaf_hmm_fixed_prior,4.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.6466207558857078,0.003534469508152817,0.0027598260454271746,0.004275754040870217,0.08197721799500456,0.002098264278464501
coops_verified_flat_full_protocol,support_5_to_24,channel_window_glr_5,4.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5071856150824844,0.002591484526866327,0.001497815647417606,0.004465479582920287,0.03371454522640294,0.0008186705767350928
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r1_fixed_prior,4.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.5391176409420577,0.0022242187713947406,0.0017857024849020533,0.0027298716384233216,0.05648815940317917,0.0014744216357119584
coops_verified_flat_full_protocol,support_5_to_24,channel_point_glr,4.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.49404883173121866,0.00215211450062813,0.0016433013046144905,0.002878549995005129,0.049380284113485697,0.0013115957498604884
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r2_fixed_prior,4.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.524000307603737,0.0021204212295598684,0.0017155901546712067,0.002572586206364512,0.05930517294153658,0.0014350494189203868
coops_verified_flat_full_protocol,support_5_to_24,report_frequency,4.0,24,33,66,241363,309,0.0012802293640698864,9.363636363636363,0.4978649079542546,0.0019839322112201463,0.0016347761230608151,0.00241657292078791,0.04793412194597965,0.0012695082077729463
coops_verified_flat_full_protocol,support_ge_25,raw_zero_slope_radius2,0.0,0,7,7,49920,4247,0.0850761217948718,606.7142857142857,0.7746165642176513,0.5159148480760922,0.18445805414614685,0.8326898652586979,0.4985135877913174,0.1385224260263987
coops_verified_flat_full_protocol,support_ge_25,raw_local_range_radius2,0.0,0,7,7,49920,4247,0.0850761217948718,606.7142857142857,0.7622267165901563,0.5145732936988486,0.18187132872917028,0.8325723262309354,0.4966954898423621,0.13856357151685295
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r2_fixed_prior,2.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5814547446381272,0.10157690950165585,0.028295421137982054,0.21721468196506227,0.10523794203076649,0.09725537508292156
coops_verified_flat_full_protocol,support_ge_25,privsaf_hmm_fixed_prior,2.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.6051219601326195,0.09946920982113479,0.02851830453562185,0.21268506055350755,0.13691532268238324,0.0922354045437233
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r1_fixed_prior,2.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5748561196858564,0.09855956137064235,0.028386341379493505,0.2098848622375654,0.11547895218310877,0.08712530803941895
coops_verified_flat_full_protocol,support_ge_25,channel_window_glr_5,2.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5304241210168057,0.08583108630550611,0.009755303858054787,0.20411141363984425,0.05203757996088151,0.08853946751114239
coops_verified_flat_full_protocol,support_ge_25,report_frequency,2.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5044234469746995,0.08397884024308476,0.009409761532853103,0.20043724170533112,0.060093081604237326,0.0819914543496301
coops_verified_flat_full_protocol,support_ge_25,channel_point_glr,2.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5127708457201617,0.08318758050499699,0.008414467808640675,0.19930773584476955,0.033914737567989996,0.0824943909710714
coops_verified_flat_full_protocol,support_ge_25,privsaf_hmm_fixed_prior,4.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.6095775258791779,0.09052110544133309,0.016694630408590264,0.20393091767485516,0.09774493312447108,0.08958583989769434
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r1_fixed_prior,4.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5433571802195464,0.08652522381675477,0.011008707663223944,0.20281191333590304,0.0696584087289932,0.08279919865610316
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r2_fixed_prior,4.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5245184740084842,0.08594522939759364,0.009840404565504213,0.20172209611595346,0.06234647022733896,0.08091385237817782
coops_verified_flat_full_protocol,support_ge_25,report_frequency,4.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5374818359810146,0.08559698401692158,0.012263054312558006,0.19855375668514008,0.08470310118178591,0.09703932184664744
coops_verified_flat_full_protocol,support_ge_25,channel_window_glr_5,4.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5304287015056665,0.08551421635942949,0.009297982847913366,0.20160798677634895,0.03754739044050233,0.08877686595587438
coops_verified_flat_full_protocol,support_ge_25,channel_point_glr,4.0,24,7,14,49920,4247,0.0850761217948718,606.7142857142857,0.5331199136365586,0.08395044785852367,0.009307394185264396,0.19910639973840155,0.05239308315748218,0.09184080194925578
