dataset,target,epsilon,seed,stuck_value,true_bucket,fault_rate,mode,method,n_test,auroc,auprc,r_error,bucket_error,bucket_acc,js,wasserstein,runtime_sec
UCI Air Quality,C6H6(GT),1.2,4,0.03125,16,0.3,segment,random,1799,0.5022225164004354,0.30550952088031835,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,0,0.03125,16,0.3,iid,mixture,1799,0.7153708116376901,0.4950954008059405,0.11610062893081757,1,0.0,0.04296587700276243,0.10183109115356266,0.012132873001974076
UCI Air Quality,C6H6(GT),1.2,0,0.03125,16,0.3,iid,hmm,1799,0.5945812373135646,0.3587005912429875,0.13392727336578003,0,1.0,0.04296587700276243,0.10183109115356266,0.3677129209972918
UCI Air Quality,C6H6(GT),1.2,0,0.03125,16,0.3,iid,random,1799,0.5003191833612802,0.2921324728825127,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,1,0.03125,16,0.3,iid,mixture,1799,0.6891190833406877,0.46549557442123335,0.12106918238993708,0,1.0,0.04296587700276243,0.10183109115356266,0.012163880994194187
UCI Air Quality,C6H6(GT),1.2,1,0.03125,16,0.3,iid,hmm,1799,0.5742402847645104,0.34155955382745273,0.11884799475575228,1,0.0,0.04296587700276243,0.10183109115356266,0.36695768299978226
UCI Air Quality,C6H6(GT),1.2,1,0.03125,16,0.3,iid,random,1799,0.4956976436325126,0.29168324278799584,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,2,0.03125,16,0.3,iid,mixture,1799,0.69945797664225,0.47842629933538666,0.0564779874213836,0,1.0,0.04296587700276243,0.10183109115356266,0.012132350995671004
UCI Air Quality,C6H6(GT),1.2,2,0.03125,16,0.3,iid,hmm,1799,0.5786750213279204,0.37399857336105846,0.060592826536261135,1,0.0,0.04296587700276243,0.10183109115356266,0.36779502699209843
UCI Air Quality,C6H6(GT),1.2,2,0.03125,16,0.3,iid,random,1799,0.47832789103638984,0.2915444540412683,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,3,0.03125,16,0.3,iid,mixture,1799,0.7332892066013591,0.5058913973211827,0.06641509433962259,0,1.0,0.04296587700276243,0.10183109115356266,0.012121638006647117
UCI Air Quality,C6H6(GT),1.2,3,0.03125,16,0.3,iid,hmm,1799,0.5860485982408143,0.35686858735247606,0.09819395312416357,1,0.0,0.04296587700276243,0.10183109115356266,0.36698517100012396
UCI Air Quality,C6H6(GT),1.2,3,0.03125,16,0.3,iid,random,1799,0.4953313917571264,0.2970137712182609,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,4,0.03125,16,0.3,iid,mixture,1799,0.7058350248580589,0.5021658401003128,0.08628930817610059,1,0.0,0.04296587700276243,0.10183109115356266,0.012165727006504312
UCI Air Quality,C6H6(GT),1.2,4,0.03125,16,0.3,iid,hmm,1799,0.5414526520165917,0.3284696491428524,0.09944359656820481,3,0.0,0.04296587700276243,0.10183109115356266,0.36605635499290656
UCI Air Quality,C6H6(GT),1.2,4,0.03125,16,0.3,iid,random,1799,0.5150310358014886,0.3119917663301416,0.3,17,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,0,0.84375,29,0.3,segment,mixture,1799,0.7469964404436208,0.5179677834005503,0.006792452830188644,0,1.0,0.04296587700276243,0.10183109115356266,0.012184068997157738
UCI Air Quality,C6H6(GT),1.2,0,0.84375,29,0.3,segment,hmm,1799,0.9743917865442886,0.9503850574168538,0.01281054849665858,0,1.0,0.04296587700276243,0.10183109115356266,0.36691786600567866
UCI Air Quality,C6H6(GT),1.2,0,0.84375,29,0.3,segment,random,1799,0.491518842114553,0.2957488736472729,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,1,0.84375,29,0.3,segment,mixture,1799,0.7477348277586562,0.5151469073738797,0.03163522012578612,0,1.0,0.04296587700276243,0.10183109115356266,0.012157826000475325
UCI Air Quality,C6H6(GT),1.2,1,0.84375,29,0.3,segment,hmm,1799,0.974556526343659,0.9376817374931479,9.263516763252655e-05,0,1.0,0.04296587700276243,0.10183109115356266,0.3662307889899239
UCI Air Quality,C6H6(GT),1.2,1,0.84375,29,0.3,segment,random,1799,0.5212205454064073,0.31090206581528385,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,2,0.84375,29,0.3,segment,mixture,1799,0.7460190333303915,0.5212916329788069,0.016729559748427603,0,1.0,0.04296587700276243,0.10183109115356266,0.012100650987122208
UCI Air Quality,C6H6(GT),1.2,2,0.84375,29,0.3,segment,hmm,1799,0.9710219751125231,0.945099303034328,0.005203082892915656,0,1.0,0.04296587700276243,0.10183109115356266,0.36680351800168864
UCI Air Quality,C6H6(GT),1.2,2,0.84375,29,0.3,segment,random,1799,0.48461300856058603,0.29035758971253567,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,3,0.84375,29,0.3,segment,mixture,1799,0.7534860118259642,0.5159286716344224,0.0031446540880503693,0,1.0,0.04296587700276243,0.10183109115356266,0.012132390009355731
UCI Air Quality,C6H6(GT),1.2,3,0.84375,29,0.3,segment,hmm,1799,0.9821036684023181,0.9645824667146415,0.010709535003896709,0,1.0,0.04296587700276243,0.10183109115356266,0.3671596530039096
UCI Air Quality,C6H6(GT),1.2,3,0.84375,29,0.3,segment,random,1799,0.504321477951343,0.3040456585632596,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,4,0.84375,29,0.3,segment,mixture,1799,0.7539272791457065,0.5117056575576261,0.04157232704402514,1,0.0,0.04296587700276243,0.10183109115356266,0.01207801299460698
UCI Air Quality,C6H6(GT),1.2,4,0.84375,29,0.3,segment,hmm,1799,0.9827802782925896,0.9629169761805236,0.00638431002017964,0,1.0,0.04296587700276243,0.10183109115356266,0.36725530099647585
UCI Air Quality,C6H6(GT),1.2,4,0.84375,29,0.3,segment,random,1799,0.5022225164004354,0.30550952088031835,0.3,30,0.0,0.04296587700276243,0.10183109115356266,0.0
UCI Air Quality,C6H6(GT),1.2,0,0.84375,29,0.3,iid,mixture,1799,0.7506001235548495,0.5298555279357112,0.051509433962264095,0,1.0,0.04296587700276243,0.10183109115356266,0.012075803009793162
UCI Air Quality,C6H6(GT),1.2,0,0.84375,29,0.3,iid,hmm,1799,0.6217294737151766,0.3990621977302631,0.13000820398395133,1,0.0,0.04296587700276243,0.10183109115356266,0.3677571070002159
