mechanism,fault_mode,epsilon,method,cases,auroc_mean,auprc_mean,runtime_sec_mean
pm,segment_stuck,2.0,channel_window_glr,3,0.9389308449074075,0.7483582358292254,0.015340833332932865
pm,segment_stuck,2.0,privsaf_mixture,3,0.6870594618055555,0.3985610052185671,0.012422400002833456
pm,segment_stuck,2.0,channel_spike_score,3,0.3761848958333333,0.19095245355068743,0.0008282999964042878
pm,spike,0.5,channel_spike_score,3,0.5311754918981482,0.22465042942972158,0.000623466670125102
pm,spike,0.5,privsaf_hmm,3,0.5056828703703703,0.20746155880615727,0.36701990000437945
pm,spike,0.5,privsaf_mixture,3,0.4799609375,0.19780540180318698,0.012109566669096239
pm,spike,0.5,channel_window_glr,3,0.4872620081018518,0.19775460517028978,0.014575633336789906
pm,spike,1.0,channel_spike_score,3,0.5207819733796296,0.21159756490456316,0.0005773666683429232
pm,spike,1.0,privsaf_hmm,3,0.5014033564814815,0.19955524265910216,0.36418713333356817
pm,spike,1.0,channel_window_glr,3,0.4919444444444445,0.19700632901987059,0.015287666664031955
pm,spike,1.0,privsaf_mixture,3,0.45886212384259256,0.19199805882652524,0.012011399997087816
pm,spike,2.0,channel_spike_score,3,0.588117042824074,0.2682205105599702,0.0006146666710264981
pm,spike,2.0,privsaf_mixture,3,0.51919921875,0.216443136317775,0.011687166663856866
pm,spike,2.0,privsaf_hmm,3,0.5083188657407407,0.20053937371171768,0.36420766666318133
pm,spike,2.0,channel_window_glr,3,0.4832407407407408,0.19312130450025564,0.01557683333036645
