panel,dataset_id,dataset,epsilon,seed,method,auroc,auprc,runtime_sec,train_rows,test_rows,positive_frames,official_windows,label_source
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,ldp_postmean_iforest,0.5941444679138175,0.2735604509084306,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,ldp_postmean_lof,0.5047082561093043,0.2579575243656018,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,ldp_postmean_subseq_nn,0.4820303241435592,0.18489097935028237,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,1,privsaf_hmm_scan,0.5620013714436786,0.20896318729362443,1.5944235000060871,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,pm_window_iforest,0.6978541588065686,0.3302330954300984,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,pm_window_lof,0.7192671313418942,0.469945172440747,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,pm_subseq_nn,0.45136423763245126,0.17155582688789783,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,ldp_postmean_iforest,0.5361596639504004,0.21898383364621388,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,ldp_postmean_lof,0.4981429514312493,0.21352172421429186,0.0,3540,3727,726,2,NAB combined_windows.json
nab_native_labeled_system_failure,ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,2.0,2,ldp_postmean_subseq_nn,0.467405722426776,0.18672892188394785,0.0,3540,3727,726,2,NAB combined_windows.json
