station_id,label_code,label,n_rows_full,positive_rows_full,fault_rate_full,negative_rows_full,eligible_for_pmldp,sample_rule,n_rows_sample,positive_rows_sample,fault_rate_sample,station_url
062580-99999,TSS,temperature straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062580-99999.nc.gz
062580-99999,DSS,dew point straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062580-99999.nc.gz
062580-99999,PSS,sea-level pressure straight string,0,0,nan,0,0,full,0,0,nan,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_062580-99999.nc.gz
025880-99999,TSS,temperature straight string,45293,23,0.0005078047380389905,45270,0,full,45293,23,0.0005078047380389905,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025880-99999.nc.gz
025880-99999,DSS,dew point straight string,45226,32,0.0007075575996108433,45194,0,full,45226,32,0.0007075575996108433,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025880-99999.nc.gz
025880-99999,PSS,sea-level pressure straight string,64,0,0.0,64,0,full,64,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_025880-99999.nc.gz
034145-99999,TSS,temperature straight string,45220,0,0.0,45220,0,full,45220,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034145-99999.nc.gz
034145-99999,DSS,dew point straight string,38162,0,0.0,38162,0,full,38162,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034145-99999.nc.gz
034145-99999,PSS,sea-level pressure straight string,9,0,0.0,9,0,full,9,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_034145-99999.nc.gz
070340-99999,TSS,temperature straight string,15604,0,0.0,15604,0,full,15604,0,0.0,https://hadleyserver.metoffice.gov.uk/hadobs/hadisd/v343_2025f/data/hadisd.3.4.3.2025f_19310101-20250829_070340-99999.nc.gz
