panel,dataset_id,dataset,case,epsilon,seed,method,feature_aggregation,calibration,n_rows,n_test,fault_rate,auroc,auprc,runtime_sec
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,1,privsaf_mixture,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.43959653298170015,0.08878640252437581,0.042959699989296496
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,2,generic_pm_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.5009125848261666,0.11027002777825798,0.6522211999981664
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,2,pm_column_likelihood_scan,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.6762323915350722,0.18118413765146912,0.0017468000005465
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,2,pm_llr_cusum,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.43284159617920426,0.08373911114944249,0.020434199992450885
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,2,pm_window_glr,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.8726331087383012,0.8004446266115944,0.11031419997743797
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,2,privsaf_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.5280629884539929,0.1313179502218607,2.6231481000140775
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck102,4.0,2,privsaf_mixture,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.10068259385665529,0.4449805824462097,0.08885719908337891,0.04271130000415724
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,0,generic_pm_hmm,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.5431356297826926,0.23888958895820697,0.6545069000130752
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,0,pm_column_likelihood_scan,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.5497082131746861,0.2433759787634468,0.00181940000038594
wsn_labeled_stuck_pmldp,wsn_stuck_at,Prepared WSN stuck-at labels,stuck202,2.0,0,pm_llr_cusum,max_rank_over_final_timestep_4_scalar_features,normal_label_rows_in_first_half,4688,2344,0.20051194539249148,0.4469913031631054,0.17030527417497154,0.020575499991537072
