panel,dataset_id,dataset,mechanism,mechanism_label,fault_mode,epsilon,seed,method,n_test,fault_rows,fault_rate,auroc,auprc,estimated_bucket,estimated_fault_rate,runtime_sec,param_stuck_value,param_segment_length,param_bias,param_scale_factor,param_spike_magnitude
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,1,channel_spike_score,1200,240,0.2,0.4751714409722222,0.19907743918103207,0,0.08568452798005924,0.000552800003788434,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,1,privsaf_mixture,1200,240,0.2,0.6653971354166666,0.2975965264478601,25,0.11454545454545453,0.011714099993696436,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,1,privsaf_hmm,1200,240,0.2,0.9840625,0.9456224808036969,22,0.18254085612861085,0.37183779999031685,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,1,channel_window_glr,1200,240,0.2,0.8247048611111111,0.56436867582999,28,0.18916666666666668,0.01455760000681039,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,1,channel_spike_score,1200,240,0.2,0.5177083333333333,0.20616580310880828,0,0.05616899988970656,0.0004927000118186697,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,1,privsaf_mixture,1200,240,0.2,0.6255208333333333,0.26016701101928374,9,0.6024242424242424,0.012944700007210486,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,1,privsaf_hmm,1200,240,0.2,0.949045138888889,0.8121191032806084,27,0.1382816476445079,0.36902359999658074,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,2,channel_window_glr,1200,240,0.2,0.9149283854166667,0.6852622119340681,21,0.19083333333333333,0.016371699995943345,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,2,channel_spike_score,1200,240,0.2,0.48970920138888896,0.21137602951848294,0,0.08253793755357963,0.0005206000059843063,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,2,privsaf_mixture,1200,240,0.2,0.6668880208333334,0.29649412600743574,28,0.07272727272727272,0.012518499992438592,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,1.0,2,privsaf_hmm,1200,240,0.2,0.9915364583333333,0.968040271503379,21,0.16245445295789754,0.36344490000919905,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,2,channel_window_glr,1200,240,0.2,0.9289149305555555,0.6971898129482584,25,0.17916666666666667,0.014601599992602132,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,2,channel_spike_score,1200,240,0.2,0.540310329861111,0.21555415617128465,0,0.057842428642897306,0.0005227000074228272,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,2,privsaf_mixture,1200,240,0.2,0.6260416666666667,0.26054175293305726,9,0.48393939393939395,0.013726999997743405,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,1.0,2,privsaf_hmm,1200,240,0.2,0.9550694444444444,0.7782852771514488,20,0.19875041465401488,0.3701257000066107,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,0,channel_window_glr,1200,240,0.2,0.8905664062499999,0.6194313050475999,21,0.19,0.016041599999880418,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,0,channel_spike_score,1200,240,0.2,0.40414279513888884,0.19706863875522238,0,0.13401177010586143,0.0007059999916236848,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,0,privsaf_mixture,1200,240,0.2,0.8188129340277778,0.49500191429964757,23,0.1493939393939394,0.013341900004888885,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,pm,Piecewise Mechanism,segment_stuck,2.0,0,privsaf_hmm,1200,240,0.2,0.9942578125,0.9801704364872325,22,0.202401213570164,0.3669341000058921,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,0,channel_window_glr,1200,240,0.2,0.8706662326388889,0.6086473437372577,21,0.2,0.013911100002587773,0.4277108433734942,48.0,,,
mechanism_fault_extension,air_quality,UCI Air Quality,duchi_binary,Duchi binary real-valued mechanism,segment_stuck,2.0,0,channel_spike_score,1200,240,0.2,0.5203125,0.20738636363636365,0,0.07397521649818908,0.0005508000031113625,0.4277108433734942,48.0,,,
