dataset,stream,fault_mode,stuck_value_type,epsilon,seed,method,AUROC,AUPRC,TV_sep,KL_sep,ratio_MAE,bucket_hit1,calibration_condition,fault_rate,target_fault_rate,segment_length,stuck_value,true_bucket,calibration_train_TV_sep
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,0,ldp_distribution_surprise,0.4477970679012345,0.09301800531562063,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_hmm,0.3811111111111112,0.09543872326126057,0.042927131967938084,0.005616884757036368,0.04900655165425266,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,privsaf_mixture,0.472608024691358,0.09102424461506095,0.042927131967938084,0.005616884757036368,0.37696969696969695,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_window_glr,0.5300733024691358,0.14338171912917863,0.042927131967938084,0.005616884757036368,0.07166666666666666,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,1,ldp_distribution_surprise,0.45676697530864196,0.09144419232001127,0.042927131967938084,0.005616884757036368,,,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_hmm,0.38179012345679014,0.08938152707382749,0.04960673059035535,0.006942357829315035,0.050209400449831354,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,privsaf_mixture,0.4717669753086419,0.0908923157499212,0.04960673059035535,0.006942357829315035,0.3839393939393939,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_window_glr,0.5686612654320987,0.14767837494114566,0.04960673059035535,0.006942357829315035,0.06416666666666665,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,1,ldp_distribution_surprise,0.4563966049382716,0.09131853800764159,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_hmm,0.280787037037037,0.06470454311071096,0.042927131967938084,0.005616884757036368,0.05157525127776161,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,privsaf_mixture,0.437295524691358,0.08646370640265684,0.042927131967938084,0.005616884757036368,0.2654545454545455,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_window_glr,0.46536265432098767,0.12493784557642901,0.042927131967938084,0.005616884757036368,0.08333333333333331,0.0,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,median,0.5,2,ldp_distribution_surprise,0.5105671296296296,0.10018962594668537,0.042927131967938084,0.005616884757036368,,,matched_train,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_hmm,0.28042438271604936,0.06480326725762021,0.04960673059035535,0.006942357829315035,0.05611716885888146,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,privsaf_mixture,0.4829050925925926,0.09987252341542711,0.04960673059035535,0.006942357829315035,0.4954545454545455,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_window_glr,0.4507908950617284,0.11714583374593555,0.04960673059035535,0.006942357829315035,0.0875,0.0,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck_distribution_shift,median,0.5,2,ldp_distribution_surprise,0.5084529320987654,0.09983834353579499,0.04960673059035535,0.006942357829315035,,,shifted_validation,0.1,0.1,24,-0.5361445783132529,7,0.042927131967938084
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,0,privsaf_hmm,0.5133625730994151,0.04786298060935128,0.05857549345130747,0.012126946588602246,0.014294272258064275,0.0,matched_train,0.05,0.05,12,-0.84375,2,0.05857549345130747
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,0,privsaf_mixture,0.5182163742690058,0.048696785045080765,0.05857549345130747,0.012126946588602246,0.2596969696969697,0.0,matched_train,0.05,0.05,12,-0.84375,2,0.05857549345130747
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,0,ldp_window_glr,0.39781432748538015,0.04491391391042805,0.05857549345130747,0.012126946588602246,0.12916666666666665,0.0,matched_train,0.05,0.05,12,-0.84375,2,0.05857549345130747
air_quality,C6H6(GT),segment_stuck,mode_bucket,0.5,0,ldp_distribution_surprise,0.4295321637426901,0.048595578212661555,0.05857549345130747,0.012126946588602246,,,matched_train,0.05,0.05,12,-0.84375,2,0.05857549345130747
air_quality,C6H6(GT),segment_stuck_distribution_shift,mode_bucket,0.5,0,privsaf_hmm,0.5330847953216373,0.049495695595157624,0.06351155693537133,0.012861328515161108,0.01444630070813735,0.0,shifted_validation,0.05,0.05,12,-0.84375,2,0.05857549345130747
air_quality,C6H6(GT),segment_stuck_distribution_shift,mode_bucket,0.5,0,privsaf_mixture,0.5223099415204678,0.04912584432520595,0.06351155693537133,0.012861328515161108,0.26666666666666666,0.0,shifted_validation,0.05,0.05,12,-0.84375,2,0.05857549345130747
air_quality,C6H6(GT),segment_stuck_distribution_shift,mode_bucket,0.5,0,ldp_window_glr,0.44744152046783625,0.04964323543185074,0.06351155693537133,0.012861328515161108,0.12333333333333334,0.0,shifted_validation,0.05,0.05,12,-0.84375,2,0.05857549345130747
