dataset,stream,epsilon,seed,fault_mode,fault_rate,segment_length,repair_method,mask_source,review_budget_points,block_size_for_hourly_mean,mae,rmse,fault_point_mae,clean_point_mae,false_clean_repair_fraction,downstream_mean_abs_error,downstream_hourly_mean_abs_error,downstream_p95_abs_error,downstream_exceedance_count_abs_error,downstream_exceedance_rate_abs_error,exceedance_threshold_q90
household_power,Global_active_power hourly sample,2.0,0,iid_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.14200948936888994,0.34995407265880957,0.5652916797641728,0.036188941770069226,0.08583333333333333,0.08748524498207455,0.10136084216060076,0.0887333447146153,85.0,0.07083333333333333,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,0,iid_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.04325294964867069,0.14325194076539918,0.21626474824335343,0.0,0.0,9.989445216740389e-05,0.024908898942353798,0.09698477347185941,5.0,0.004166666666666667,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,0,segment_stuck,0.2,48,no_repair,none,240,24,0.18414648521652896,0.4424595796800014,0.9207324260826447,0.0,0.0,0.179070908090736,0.179070908090736,0.0887333447146153,208.0,0.17333333333333334,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,0,segment_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.28831739348303237,0.3939724160310888,0.4074598072282077,0.25853179004673854,0.8,0.009526548417125968,0.11542446778616129,0.558230328404219,120.0,0.1,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,0,segment_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.11590522475159003,0.315740710713762,0.5567575987673717,0.005692131247644557,0.006666666666666667,0.04309735466510589,0.09446580996383055,0.0887333447146153,49.0,0.04083333333333333,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,0,segment_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.06938787676782458,0.21550770730923047,0.3469393838391229,0.0,0.0,0.04535982461987875,0.052939326434993994,0.16181742799307336,32.0,0.02666666666666667,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,iid_stuck,0.2,48,no_repair,none,240,24,0.18758091548856867,0.4447255879954419,0.9379045774428434,0.0,0.0,0.18308207123056047,0.18308207123056047,0.0887333447146153,218.0,0.18166666666666667,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,iid_stuck,0.2,48,ldp_smoothing,all_points_ldp_postmean,240,24,0.27129080285385987,0.37537077526121915,0.3658738659611277,0.2476450370770429,0.8,0.008137782833919527,0.09150190787293477,0.558230328404219,120.0,0.1,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,iid_stuck,0.2,48,privsaf_repair,privsaf_topk_mask_linear,240,24,0.15960157161038807,0.3817252998627053,0.612516236391014,0.04637290541523158,0.1,0.08448522059361513,0.10087489533286187,0.0887333447146153,95.0,0.07916666666666666,-0.024307164516417557
household_power,Global_active_power hourly sample,2.0,1,iid_stuck,0.2,48,oracle_mask_interpolation,oracle_fault_mask_linear,240,24,0.044128555182502444,0.1486576237603277,0.22064277591251222,0.0,0.0,0.005546003408964717,0.024139493858172986,0.006422294303668752,2.0,0.0016666666666666668,-0.024307164516417557
