panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,dropout_rows,dropout_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_symbol,estimated_dropout_rate,runtime_sec
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999999999999999,1.0,1.0,1.0,32,0.2751587851717066,0.6992399000009755
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.0001908999984152615
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0009350000036647543
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6275733999937074
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00014470001042354852
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.002063000007183291
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,0.5,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.5664691999991192
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,9.73999995039776e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0011553999938769266
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,0,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6033446999936132
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,1,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00029240000003483146
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,1,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0009477000130573288
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,1,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6981069999892497
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,2,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,9.679999493528157e-05
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,2,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0012610999983735383
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,1.0,2,privsaf_dropout_hmm,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2751587851717066,0.6664043000055244
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,0,missing_symbol,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,1.0,1.0,1.0,1.0,32,0.2752129001734742,0.00016480000340379775
iors_real_dropout_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2011,2.0,0,rolling_missing_fraction,previous_year_good_qc_rows,SLH_QC_8_missing_value,50000,50728,13961,0.2752129001734742,0.05,2.54,0.9999978833209641,0.9999922518220266,1.0,0.9995702313587852,32,0.2752129001734742,0.0009027000050991774
