dataset_id,dataset,target,epsilon,seed,fault_mode,dropout_length,rho_normal,rho_dropout,fault_rate,method,auroc,auprc,recall_at_1pct_fpr,median_detection_delay,segment_iou_at_1pct_fpr
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,16,0.01,0.75,0.15008337965536409,privsaf_dropout_hmm,0.998880895283773,0.9938091557017823,1.0,0.0,0.9265734265734266
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,16,0.01,0.75,0.15008337965536409,rolling_missing_fraction,0.9935821040137587,0.9569954550822118,1.0,0.0,0.8131147540983606
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,16,0.01,0.75,0.15008337965536409,privsaf_dropout_hmm,0.9994598260785311,0.9972553772143912,1.0,0.0,0.9230769230769231
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,16,0.01,0.75,0.15008337965536409,rolling_missing_fraction,0.9952547053266478,0.9642052705321037,1.0,0.0,0.8355263157894737
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,16,0.01,0.75,0.15008337965536409,privsaf_dropout_hmm,0.9985114938352349,0.9930668848038575,1.0,0.0,0.9090909090909091
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,16,0.01,0.75,0.15008337965536409,rolling_missing_fraction,0.994392364895962,0.9593446541562818,1.0,0.0,0.8333333333333334
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,64,0.01,0.25,0.15008337965536409,privsaf_dropout_hmm,0.9984884819417192,0.9897378449657608,1.0,1.0,0.916083916083916
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,64,0.01,0.25,0.15008337965536409,rolling_missing_fraction,0.9905627013540683,0.9514641336940763,0.8,0.0,0.8581314878892734
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,64,0.01,0.25,0.15008337965536409,privsaf_dropout_hmm,0.9976430976430976,0.981292857590349,1.0,0.0,0.9125874125874126
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,64,0.01,0.25,0.15008337965536409,rolling_missing_fraction,0.9847782380156481,0.9060480190996346,0.8,6.0,0.6888111888111889
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,64,0.01,0.25,0.15008337965536409,privsaf_dropout_hmm,0.9977957028316741,0.98872830353225,0.75,0.5,0.8566433566433567
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,64,0.01,0.25,0.15008337965536409,rolling_missing_fraction,0.9953988324491921,0.9733657062614877,0.75,1.5,0.8295081967213115
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,64,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.999643921226655,0.9980270401127547,1.0,0.0,0.9370629370629371
air_quality,UCI Air Quality,C6H6(GT),1.0,0,dropout,64,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.9951045224426519,0.9744423480356482,0.8,0.0,0.8780487804878049
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,64,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.9991812610517646,0.99491798352553,1.0,0.0,0.9335664335664335
air_quality,UCI Air Quality,C6H6(GT),1.0,1,dropout,64,0.01,0.5,0.15008337965536409,rolling_missing_fraction,0.9924327204902744,0.9511445874891103,0.8,0.0,0.8566433566433567
air_quality,UCI Air Quality,C6H6(GT),1.0,2,dropout,64,0.01,0.5,0.15008337965536409,privsaf_dropout_hmm,0.9989220744616428,0.9950771146001833,1.0,0.0,0.9195804195804196
