scale_rows,devices,query_name,design,rep,input_rows,output_rows,elapsed_ms,throughput_rows_per_sec,query
200000,2000,budget_window_direct_reports,base_window,1,200000,1,86.0573890095111,2324030.537086082,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports as r not indexed )"
200000,2000,budget_window_direct_reports,base_window,2,200000,1,86.13624599820469,2321902.907217114,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from ( select 1000.0 - sum(epsilon) over ( partition by device_id order by ts rows between unbounded preceding and current row ) as remaining_budget from reports as r not indexed )"
200000,2000,budget_window_materialized,materialized_window,0,200000,1,9.678280999651179,20664826.740121342,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
200000,2000,budget_window_materialized,materialized_window,1,200000,1,9.452783997403458,21157788.018316835,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
200000,2000,budget_window_materialized,materialized_window,2,200000,1,9.372436004923657,21339169.442707665,"select count(*) as reports, min(remaining_budget) as min_remaining_budget, avg(remaining_budget) as avg_remaining_budget from privacy_budget_trace where remaining_budget < 1000.0"
200000,2000,repair_aggregate_direct_join,base_join_aggregate,0,200000,4000,128.09444700542372,1561347.9325261593,"select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg((2.0 * r.report_bucket / 31.0) - 1.0) as unrepaired_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60"
200000,2000,repair_aggregate_direct_join,base_join_aggregate,1,200000,4000,127.44514599035028,1569302.608160089,"select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg((2.0 * r.report_bucket / 31.0) - 1.0) as unrepaired_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60"
200000,2000,repair_aggregate_direct_join,base_join_aggregate,2,200000,4000,127.4261789949378,1569536.1940339222,"select r.device_id, r.ts / 60 as hour_id, count(*) as reports, avg(case when c.action = 'repair' then c.repair_value else (2.0 * r.report_bucket / 31.0) - 1.0 end) as cleaned_mean, avg((2.0 * r.report_bucket / 31.0) - 1.0) as unrepaired_mean, avg(c.posterior * (1.0 - c.posterior)) as uncertainty_proxy, sum(case when c.action = 'repair' then 1 else 0 end) as repair_count from reports r join cleaning_records c using(report_id) group by r.device_id, r.ts / 60"
200000,2000,repair_dashboard_materialized,materialized_analytics,0,200000,2000,1.3613990013254806,146907702.88892284,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics group by device_id"
200000,2000,repair_dashboard_materialized,materialized_analytics,1,200000,2000,1.3040619960520416,153366941.6066769,"select device_id, count(*) as hourly_groups, avg(cleaned_mean) as avg_cleaned_mean, sum(repair_count) as repaired_reports, avg(uncertainty_proxy) as avg_uncertainty_proxy from repair_uncertainty_analytics group by device_id"
