dataset_id,dataset,epsilon,segment_len,stuck_bin,stuck_value,output_bin_for_value,kl_qs_r,chernoff_qs_r,bucket_p_under_fault,bucket_p_under_normal,bucket_delta,bucket_auc,llr_auc,llr_auprc,auroc_gap,hard_case_flag
air_quality,UCI Air Quality,0.5,32,24,0.53125,17,0.05189634466866966,0.013072664083297362,0.04012579427149195,0.03334473099303154,0.006781063278460411,0.569518,0.90608,0.9099810455067299,0.33656200000000003,0.0
air_quality,UCI Air Quality,0.5,64,24,0.53125,17,0.05189634466866966,0.013072664083297362,0.04012579427149195,0.03334473099303154,0.006781063278460411,0.5616765,0.9615119999999999,0.9596278308026528,0.3998354999999999,0.0
air_quality,UCI Air Quality,0.5,8,30,0.90625,17,0.07386015317269357,0.018555917447992922,0.037814655599667214,0.03334473099303154,0.004469924606635672,0.5328390000000001,0.7746005,0.7715593267136381,0.24176149999999996,1.0
air_quality,UCI Air Quality,0.5,16,30,0.90625,17,0.07386015317269357,0.018555917447992922,0.037814655599667214,0.03334473099303154,0.004469924606635672,0.5188520000000001,0.863606,0.852768180719266,0.3447539999999999,1.0
air_quality,UCI Air Quality,0.5,32,30,0.90625,17,0.07386015317269357,0.018555917447992922,0.037814655599667214,0.03334473099303154,0.004469924606635672,0.5305445,0.930013,0.9321651224097487,0.3994685,1.0
air_quality,UCI Air Quality,0.5,64,30,0.90625,17,0.07386015317269357,0.018555917447992922,0.037814655599667214,0.03334473099303154,0.004469924606635672,0.559668,0.9839359999999999,0.9844167815249428,0.42426799999999987,0.0
air_quality,UCI Air Quality,0.5,8,31,0.96875,17,0.07601697698807414,0.01907377636637227,0.028938861328175285,0.03334473099303154,-0.004405869664856257,0.4845195,0.764697,0.7589243966065043,0.28017749999999997,1.0
air_quality,UCI Air Quality,0.5,16,31,0.96875,17,0.07601697698807414,0.01907377636637227,0.028938861328175285,0.03334473099303154,-0.004405869664856257,0.4899585,0.867852,0.862075864460607,0.37789349999999994,1.0
air_quality,UCI Air Quality,0.5,32,31,0.96875,17,0.07601697698807414,0.01907377636637227,0.028938861328175285,0.03334473099303154,-0.004405869664856257,0.4793945,0.9363809999999998,0.9396539418605184,0.4569864999999998,1.0
air_quality,UCI Air Quality,0.5,64,31,0.96875,17,0.07601697698807414,0.01907377636637227,0.028938861328175285,0.03334473099303154,-0.004405869664856257,0.457813,0.985098,0.986128468525478,0.527285,1.0
air_quality,UCI Air Quality,1.0,8,0,-0.96875,12,0.0838906927730833,0.02130059581442959,0.031738214137765335,0.04801971932874915,-0.016281505190983814,0.45749600000000007,0.795087,0.7883559255425259,0.3375909999999999,1.0
air_quality,UCI Air Quality,1.0,16,0,-0.96875,12,0.0838906927730833,0.02130059581442959,0.031738214137765335,0.04801971932874915,-0.016281505190983814,0.4056235,0.869386,0.866250911167738,0.46376249999999997,1.0
