dataset_id,dataset,target,epsilon,seed,fault_mode,fault_rate,n_test,evidence_type,stuck_value,segment_length,bias,method,fault_ratio_true,fault_ratio_estimated,fault_ratio_abs_error,stuck_bucket_true,stuck_bucket_estimated,stuck_bucket_top1,posterior_brier,posterior_ece,template_source,template_range,template_flank_delta
air_quality,UCI Air Quality,C6H6(GT),2.0,2,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_hmm,0.2001111728738188,0.3966764237556813,0.1965652508818625,1,0,0.0,0.183429272522686,0.1965652508818625,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,48.0,,privsaf_mixture,0.2001111728738188,0.15636363636363637,0.04374753651018243,22,23,0.0,0.12144889534129061,0.04552170518635067,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,48.0,,privsaf_hmm,0.2001111728738188,0.19708177521462167,0.0030293976591971306,22,22,1.0,0.019381410369351443,0.012315368847299082,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,48.0,,privsaf_mixture,0.2001111728738188,0.17030303030303032,0.02980814257078848,22,23,0.0,0.11952467951740366,0.03225658396363273,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,48.0,,privsaf_hmm,0.2001111728738188,0.2071364118401725,0.0070252389663537085,22,22,1.0,0.007824910731606698,0.009559578535436363,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,48.0,,privsaf_mixture,0.2001111728738188,0.17030303030303032,0.02980814257078848,22,23,0.0,0.11994601965608871,0.031590258721641395,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,48.0,,privsaf_hmm,0.2001111728738188,0.2193954878591681,0.0192843149853493,22,22,1.0,0.014257630551963586,0.020043332873408374,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,template_stuck,0.2001111728738188,1799,template_based_semireal_injection,-1.0,8.0,,privsaf_mixture,0.2001111728738188,0.38636363636363635,0.18625246348981755,0,0,1.0,0.19113229426820025,0.1879962626990548,native_flatline,0.0,0.15625
air_quality,UCI Air Quality,C6H6(GT),2.0,0,template_stuck,0.2001111728738188,1799,template_based_semireal_injection,-1.0,8.0,,privsaf_hmm,0.2001111728738188,0.36067796393026824,0.16056679105644944,0,0,1.0,0.24550161289721853,0.2306664292417709,native_flatline,0.0,0.15625
air_quality,UCI Air Quality,C6H6(GT),2.0,1,template_stuck,0.2001111728738188,1799,template_based_semireal_injection,-0.9994979919678716,12.0,,privsaf_mixture,0.2001111728738188,0.37242424242424244,0.17231306955042364,0,0,1.0,0.18584579282314756,0.17321725754743555,native_flatline,0.0060240963855421326,0.14369979919678733
air_quality,UCI Air Quality,C6H6(GT),2.0,1,template_stuck,0.2001111728738188,1799,template_based_semireal_injection,-0.9994979919678716,12.0,,privsaf_hmm,0.2001111728738188,0.3185507874073109,0.11843961453349211,0,0,1.0,0.19715851296169973,0.17295969209907652,native_flatline,0.0060240963855421326,0.14369979919678733
air_quality,UCI Air Quality,C6H6(GT),2.0,2,template_stuck,0.2001111728738188,1799,template_based_semireal_injection,-1.0,8.0,,privsaf_mixture,0.2001111728738188,0.3654545454545455,0.16534337258072668,0,0,1.0,0.1809032455942805,0.16678831570947533,native_flatline,0.0,0.15625
air_quality,UCI Air Quality,C6H6(GT),2.0,2,template_stuck,0.2001111728738188,1799,template_based_semireal_injection,-1.0,8.0,,privsaf_hmm,0.2001111728738188,0.4136507852409456,0.21353961236712682,0,1,0.0,0.306042442960834,0.2824748419494894,native_flatline,0.0,0.15625
air_quality,UCI Air Quality,C6H6(GT),2.0,0,bias,0.2001111728738188,1799,random_synthetic_injection,,48.0,0.35,privsaf_mixture,0.2001111728738188,0.17030303030303032,0.02980814257078848,,1,,0.1875302552476486,0.15637241046888647,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,0,bias,0.2001111728738188,1799,random_synthetic_injection,,48.0,0.35,privsaf_hmm,0.2001111728738188,0.20263234176153674,0.002521168887717945,,1,,0.3497111543002075,0.36463315508651967,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,bias,0.2001111728738188,1799,random_synthetic_injection,,48.0,0.35,privsaf_mixture,0.2001111728738188,0.09363636363636363,0.10647480923745517,,0,,0.1877548553554101,0.15259911571708562,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,1,bias,0.2001111728738188,1799,random_synthetic_injection,,48.0,0.35,privsaf_hmm,0.2001111728738188,0.14700523695197434,0.053105935921844455,,0,,0.3043043228341431,0.317114036485433,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,bias,0.2001111728738188,1799,random_synthetic_injection,,48.0,0.35,privsaf_mixture,0.2001111728738188,0.1215151515151515,0.07859602135866729,,0,,0.18739955822071408,0.14689650863475442,,,
air_quality,UCI Air Quality,C6H6(GT),2.0,2,bias,0.2001111728738188,1799,random_synthetic_injection,,48.0,0.35,privsaf_hmm,0.2001111728738188,0.17412627032161065,0.025984902552208144,,0,,0.33190299470356965,0.35150618428222985,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,0.2001111728738188,0.38636363636363635,0.18625246348981755,1,1,1.0,0.18686383275406657,0.19421225647136203,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,0.2001111728738188,0.32822814547137635,0.12811697259755755,1,1,1.0,0.3332480756481273,0.3258385745910264,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,0.2001111728738188,0.34454545454545454,0.14443428167163574,1,1,1.0,0.17111789113276574,0.15426134174508407,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,0.2001111728738188,0.24685730986207222,0.04674613698825342,1,0,0.0,0.2830696078294128,0.272198875829444,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_mixture,0.2001111728738188,0.37242424242424244,0.17231306955042364,1,1,1.0,0.1780414395440833,0.1745827994882656,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,,,privsaf_hmm,0.2001111728738188,0.3096276153408232,0.10951644246700443,1,1,1.0,0.31372894382754535,0.3067693272581856,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_mixture,0.2001111728738188,0.18424242424242424,0.015868748631394564,22,22,1.0,0.045905653777074784,0.02133002101780773,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,0,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_hmm,0.2001111728738188,0.15298132632831626,0.047129846545502535,22,0,0.0,0.2816433426542804,0.27927049368135015,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_mixture,0.2001111728738188,0.18424242424242424,0.015868748631394564,22,22,1.0,0.051958457390869926,0.023588565641908737,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,1,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_hmm,0.2001111728738188,0.13899734273792816,0.06111383013589064,22,0,0.0,0.26209084971421176,0.2539790358630041,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_mixture,0.2001111728738188,0.17727272727272728,0.022838445601091523,22,22,1.0,0.05024516439286275,0.02138903469881017,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,2,iid_stuck,0.2001111728738188,1799,random_synthetic_injection,0.4277108433734942,,,privsaf_hmm,0.2001111728738188,0.12277303723484147,0.07733813563897733,22,0,0.0,0.2632036982962362,0.2647129341992371,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,0,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_mixture,0.2001111728738188,0.3515151515151515,0.1514039786413327,1,1,1.0,0.17455102544672813,0.15732193377462597,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,0,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_hmm,0.2001111728738188,0.382791399579348,0.1826802267055292,1,1,1.0,0.16260927666688668,0.1826802267055292,,,
air_quality,UCI Air Quality,C6H6(GT),4.0,1,segment_stuck,0.2001111728738188,1799,random_synthetic_injection,-0.9337349397590361,48.0,,privsaf_mixture,0.2001111728738188,0.3793939393939394,0.1792827665201206,1,1,1.0,0.18637887993475646,0.18418373400779442,,,
