station,t0,t1,duration_hours,variable_expr,scalar_variable_count,variable_families,flag,comment,issue,issue_title,issue_url,relevance,commented_out,usable_for_pmldp_triage
NUK_L,2023-08-12T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_L,2023-09-01T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_L,2024-01-08T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_L,2024-02-13T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_L,2024-03-07T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_L,2025-01-20T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_L,2025-05-19T00:00:00+00:00,,,,0,,,,,,,other_manual_flag,0,0
NUK_N,,2011-08-23T17:00:00+00:00,,wspd_u,1,wind_speed,NAN,manually flagged by bav,91,NUK_N wspd_u zeroed in 2010-2011,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/91,other_manual_flag,0,0
NUK_N,,2011-04-01T00:00:00+00:00,,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_N,,2011-08-01T00:00:00+00:00,,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_N,2011-06-18T00:00:00+00:00,2012-08-31T00:00:00+00:00,10560.0,t_i_.*($),1,temperature,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_N,2011-10-01T00:00:00+00:00,2011-12-01T00:00:00+00:00,1464.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_N,2012-04-10T00:00:00+00:00,2012-04-12T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_N,2012-08-29T00:00:00+00:00,2013-07-21T15:00:00+00:00,7839.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_N,2012-11-07T00:00:00+00:00,2012-11-09T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_N,2013-01-10T00:00:00+00:00,2013-01-12T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_N,2014-01-25T00:00:00+00:00,2014-01-27T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_N,2014-02-20T00:00:00+00:00,2014-02-24T00:00:00+00:00,96.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2008-08-01T00:00:00+00:00,2009-01-01T00:00:00+00:00,3672.0,t_i_.*($),1,temperature,NAN,manually flagged (bav),,,,other_manual_flag,0,0
NUK_U,2008-10-05T00:00:00+00:00,2008-10-07T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2010-01-14T00:00:00+00:00,2010-01-16T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2010-06-22T00:00:00+00:00,2011-05-01T00:00:00+00:00,7512.0,z_pt,0,,CHECKME,PT increasing height while sonice ranger indicate pursued ablation (bav),,,,other_manual_flag,0,0
NUK_U,2010-07-25T00:00:00+00:00,2010-07-27T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2010-10-01T00:00:00+00:00,2011-08-23T20:00:00+00:00,7844.0,wspd_u,1,wind_speed,NAN,low or zeroed (bav),94,NUK_U zeroed or too low wspd_u in 2011 and in winter 2021/22,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/94,other_manual_flag,0,0
NUK_U,2010-10-28T00:00:00+00:00,2011-06-09T00:00:00+00:00,5376.0,dsr usr,0,,NAN,ulr remains too high in 2020/21 (bav),95,NUK_U ulr remains too high in 2020/21,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/95,other_manual_flag,0,0
NUK_U,2011-04-10T00:00:00+00:00,2011-06-11T00:00:00+00:00,1488.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2011-05-01T00:00:00+00:00,2011-06-11T00:00:00+00:00,984.0,z_boom_u,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_U,2011-06-15T00:00:00+00:00,2011-08-24T00:00:00+00:00,1680.0,z_stake,0,,CHECKME,noisy while PT shows clear ablation (bav),,,,other_manual_flag,0,0
NUK_U,2011-06-22T00:00:00+00:00,2011-06-24T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2011-08-14T00:00:00+00:00,2011-08-24T00:00:00+00:00,240.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2011-10-02T00:00:00+00:00,2011-10-27T00:00:00+00:00,600.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_U,2012-03-07T00:00:00+00:00,2012-03-09T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2012-03-18T00:00:00+00:00,2012-03-20T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2012-08-01T00:00:00+00:00,2013-08-01T00:00:00+00:00,8760.0,t_i_7,1,temperature,NAN,positive ice temperature (bav),,,,other_manual_flag,0,0
NUK_U,2012-10-22T00:00:00+00:00,2012-10-27T00:00:00+00:00,120.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_U,2013-01-10T00:00:00+00:00,2013-01-13T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2013-11-05T00:00:00+00:00,2013-11-07T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2014-02-09T00:00:00+00:00,2014-04-10T00:00:00+00:00,1440.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_U,2014-12-05T00:00:00+00:00,2015-04-06T00:00:00+00:00,2928.0,z_stake,0,,CHECKME,noisy while SR50 on station has good quality (bav),,,,other_manual_flag,0,0
NUK_U,2015-03-01T00:00:00+00:00,2015-03-03T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2015-03-06T00:00:00+00:00,2015-03-11T00:00:00+00:00,120.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2015-10-27T00:00:00+00:00,2015-10-30T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2015-12-21T00:00:00+00:00,2015-12-23T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2016-01-24T00:00:00+00:00,2016-01-28T00:00:00+00:00,96.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2016-03-28T00:00:00+00:00,2016-04-02T00:00:00+00:00,120.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2016-09-21T00:00:00+00:00,2016-10-26T00:00:00+00:00,840.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
NUK_U,2017-09-23T00:00:00+00:00,2017-09-25T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2018-01-14T00:00:00+00:00,2018-01-17T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2018-12-07T00:00:00+00:00,2018-12-09T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2019-05-23T00:00:00+00:00,2021-09-01T00:00:00+00:00,19968.0,ulr t_surf,1,other,NAN,ulr remains too high in 2020/21 (bav),95,NUK_U ulr remains too high in 2020/21,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/95,other_manual_flag,0,0
NUK_U,2020-11-03T00:00:00+00:00,2021-09-11T00:00:00+00:00,7488.0,z_stake,0,,CHECKME,noisy while SR50 on station has good quality (bav),,,,other_manual_flag,0,0
NUK_U,2021-10-08T00:00:00+00:00,2022-08-19T12:00:00+00:00,7572.0,wspd_u wspd_i,2,wind_speed,NAN,low or zeroed (bav),94,NUK_U zeroed or too low wspd_u in 2011 and in winter 2021/22,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/94,other_manual_flag,0,0
NUK_U,2022-02-16T00:00:00+00:00,2022-02-27T00:00:00+00:00,264.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_U,2022-04-14T00:00:00+00:00,2022-04-16T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2021-02-14T00:00:00+00:00,2021-02-16T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2021-04-15T00:00:00+00:00,2021-04-18T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2021-09-22T00:00:00+00:00,2021-11-01T00:00:00+00:00,960.0,z_pt,0,,CONFIRMED,unlikely peak (bav),,,,other_manual_flag,0,0
NUK_Uv3,2022-02-16T00:00:00+00:00,2022-02-27T00:00:00+00:00,264.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2022-03-12T00:00:00+00:00,2022-03-14T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2022-04-14T00:00:00+00:00,2022-04-16T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2022-11-16T00:00:00+00:00,2022-11-18T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2023-01-19T00:00:00+00:00,2023-01-22T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2023-02-10T00:00:00+00:00,2023-02-12T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2023-12-20T00:00:00+00:00,2023-12-22T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2024-02-13T00:00:00+00:00,2024-02-15T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2024-03-08T00:00:00+00:00,2024-03-10T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
NUK_Uv3,2025-04-23T00:00:00+00:00,,,z_pt,0,,CONFIRMED,unlikely peak (bav),,,,other_manual_flag,0,0
QAS_A,2014-04-11T00:00:00+00:00,2014-04-14T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_A,2014-04-19T00:00:00+00:00,2014-04-24T00:00:00+00:00,120.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_A,2015-01-22T00:00:00+00:00,2015-01-24T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_A,2015-01-26T00:00:00+00:00,2015-08-15T12:00:00+00:00,4836.0,rh_u t_u wspd_u wdir_u p_u dsr usr dlr ulr z_boom_u,5,humidity pressure temperature wind_direction wind_speed,NAN,station buried (visible from z_boom),42,QAS_A wind speed 2014,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/42,other_manual_flag,0,0
QAS_L,,2009-08-31T00:00:00+00:00,,wspd_u,1,wind_speed,NAN,manually flagged by bav,100,QAS_L wspd_u zeroed in 2008-2009 and wdir shifted in fall 2010 to fall 2011 and from fall 2018 to fall 2019,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/100,other_manual_flag,0,0
QAS_L,# 2022-09-01T00:00:00+00:00,,,t_i_8,1,temperature,CHECKME,manually flagged (bav),,,,other_manual_flag,1,0
QAS_L,2007-11-06T00:00:00+00:00,2008-08-01T00:00:00+00:00,6456.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2007-11-16T00:00:00+00:00,2007-11-20T00:00:00+00:00,96.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2007-11-26T00:00:00+00:00,2007-11-28T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2009-01-29T00:00:00+00:00,2009-01-31T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2010-03-10T00:00:00+00:00,2010-03-12T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2010-12-15T00:00:00+00:00,2011-08-11T00:00:00+00:00,5736.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2012-02-08T00:00:00+00:00,2012-02-11T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2013-06-09T00:00:00+00:00,2013-07-08T00:00:00+00:00,696.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2015-02-05T00:00:00+00:00,2015-02-10T00:00:00+00:00,120.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2015-08-12T00:00:00+00:00,2015-08-23T00:00:00+00:00,264.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2015-12-15T00:00:00+00:00,2015-12-17T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2016-03-05T00:00:00+00:00,2016-03-07T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2017-02-12T00:00:00+00:00,2017-02-15T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2017-06-11T00:00:00+00:00,2018-03-01T00:00:00+00:00,6312.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2017-12-01T00:00:00+00:00,2017-12-04T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2018-08-24T00:00:00+00:00,2019-08-28T00:00:00+00:00,8856.0,t_i_.*($),1,temperature,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2019-05-20T00:00:00+00:00,2019-06-24T00:00:00+00:00,840.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2019-08-28T00:00:00+00:00,2019-12-11T00:00:00+00:00,2520.0,gps_lat gps_lon,0,,NAN,manually flagged (bav),151,QAS_L position: elevation of 1 in 2009,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/151,other_manual_flag,0,0
QAS_L,2020-10-28T00:00:00+00:00,2020-10-30T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2021-05-12T00:00:00+00:00,2021-06-16T00:00:00+00:00,840.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2022-01-17T00:00:00+00:00,2022-01-22T00:00:00+00:00,120.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2022-11-07T00:00:00+00:00,2022-11-11T00:00:00+00:00,96.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2023-09-01T00:00:00+00:00,,,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_L,2023-11-03T00:00:00+00:00,2023-11-05T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_L,2024-06-04T00:00:00+00:00,,,rh_u t_u wspd_u wdir_u rh_i t_i wspd_i wdir_i dsr usr dlr ulr z_boom_u,8,humidity temperature wind_direction wind_speed,NAN,station fallen (mcl confirmed),168,QAS_L v2 ,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/168,other_manual_flag,0,0
QAS_Lv3,,2024-09-01T12:00:00+00:00,,t_i_.*($),1,temperature,CONFIRMED,positive ice temperature from begininng (bav),,,,other_manual_flag,0,0
QAS_Lv3,,,,z_pt,0,,CONFIRMED,too noisy then decreasing in september (bav),,,,other_manual_flag,0,0
QAS_Lv3,2022-11-10T00:00:00+00:00,2022-11-12T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_Lv3,2023-08-28T00:00:00+00:00,2023-09-01T14:00:00+00:00,110.0,z_stake,0,,,,,,,other_manual_flag,0,0
QAS_Lv3,2023-11-03T00:00:00+00:00,2023-11-05T00:00:00+00:00,48.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_M,2017-04-26T00:00:00+00:00,2017-05-03T00:00:00+00:00,168.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_M,2017-05-18T00:00:00+00:00,2017-08-27T00:00:00+00:00,2424.0,t_i_.*($),1,temperature,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2017-07-14T14:00:00+00:00,2017-08-24T12:00:00+00:00,982.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2017-10-01T00:00:00+00:00,2018-09-18T00:00:00+00:00,8448.0,t_i_7,1,temperature,CHECKME,erroneous positive temperatures in winter (bav),,,,other_manual_flag,0,0
QAS_M,2017-11-11T00:00:00+00:00,2017-12-06T00:00:00+00:00,600.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2017-12-01T00:00:00+00:00,2017-12-04T00:00:00+00:00,72.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_M,2017-12-15T00:00:00+00:00,2018-02-15T00:00:00+00:00,1488.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2018-08-30T00:00:00+00:00,2018-08-31T23:00:00+00:00,47.0,z_pt,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2018-12-30T00:00:00+00:00,2019-01-10T00:00:00+00:00,264.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2019-01-29T00:00:00+00:00,2019-02-15T00:00:00+00:00,408.0,z_boom_u,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2019-03-25T00:00:00+00:00,2019-04-29T00:00:00+00:00,840.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
QAS_M,2019-08-29T00:00:00+00:00,2019-12-06T00:00:00+00:00,2376.0,z_stake,0,,CHECKME,manually flagged by bav,,,,other_manual_flag,0,0
QAS_M,2020-11-04T00:00:00+00:00,2020-11-08T00:00:00+00:00,96.0,dlr ulr dsr usr,0,,RIME,automatically detected as rime-affected (bav),61,Frosting of radiometers,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61,other_manual_flag,0,0
