semantic_layer,dataset,epsilon,stuck_value_type,TV_sep,KL_sep,selected_action,selected_method,validation_AUPRC,validation_lift,test_AUPRC,test_lift,prevalence,abstain_flag,separation_screen_pass,gate_stage,candidate_bucket_source,evidence_file,ungated_privsaf_validation_AUPRC,ungated_privsaf_validation_lift,ungated_privsaf_test_AUPRC,ungated_privsaf_test_lift,tv_threshold,kl_threshold,utility_lift_threshold,threshold_source,test_label_use
controlled_central_segment,air_quality,1.0,min_tv_column,0.09412291014520852,0.0267271290281358,route_non_privsaf,ldp_window_glr,0.09570744369566278,1.2760992492755034,0.08057828861157973,1.0743771814877296,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.05418866437845943,0.7225155250461256,0.052548373129550026,0.7006449750606669,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,1.0,min_tv_column,0.08779010972176231,0.023366539905774794,route_non_privsaf,ldp_window_glr,0.09884527940841964,1.3179370587789283,0.0893423816153842,1.1912317548717892,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.07268457184908597,0.9691276246544794,0.05980071146053762,0.7973428194738348,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,1.0,min_tv_column,0.10352043784605801,0.029950973393751096,route_non_privsaf,ldp_distribution_surprise,0.06256660393892895,0.8342213858523858,0.06205181987496812,0.8273575983329081,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.0494803223275223,0.6597376310336306,0.04713502284488034,0.6284669712650711,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,1.0,min_tv_column,0.08937252626960848,0.025978219953141996,route_non_privsaf,ldp_window_glr,0.14227901495210185,1.8970535326946911,0.09473343007448132,1.263112400993084,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.17073041914207918,2.2764055885610555,0.08986792624337278,1.1982390165783037,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,1.0,min_tv_column,0.0791921571973653,0.0179269188061333,route_non_privsaf,ldp_window_glr,0.07529858299692098,1.0039811066256128,0.07147912881559298,0.953055050874573,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.0675237901231988,0.9003172016426505,0.06661848291622585,0.8882464388830112,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,air_quality,1.0,mode_bucket,0.12759046502196253,0.0531198184846826,use_privsaf,privsaf_hmm,0.15827026726520382,2.110270230202717,0.09260713099899674,1.2347617466532896,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.15827026726520382,2.110270230202717,0.09260713099899674,1.2347617466532896,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,1.0,mode_bucket,0.13540145451521937,0.058927910105371205,use_privsaf,privsaf_hmm,0.1353663195816786,1.8048842610890479,0.08583009219622917,1.1444012292830554,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.1353663195816786,1.8048842610890479,0.08583009219622917,1.1444012292830554,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,1.0,mode_bucket,0.14596253759752217,0.06190070966868682,route_non_privsaf,ldp_distribution_surprise,0.06414147161447538,0.8552196215263382,0.06483021957772112,0.8644029277029481,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.044665936337724005,0.59554581783632,0.04742350615653941,0.6323134154205253,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,1.0,mode_bucket,0.10314411736350321,0.0338770603540077,use_privsaf,privsaf_hmm,0.17422131379694134,2.322950850625884,0.07821946790129332,1.0429262386839107,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.17422131379694134,2.322950850625884,0.07821946790129332,1.0429262386839107,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,1.0,mode_bucket,0.0791921571973653,0.0179269188061333,route_non_privsaf,ldp_window_glr,0.07529858299692098,1.0039811066256128,0.07147912881559298,0.953055050874573,0.07500000000000001,1,0,separation_fail_route_or_abstain,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.0675237901231988,0.9003172016426505,0.06661848291622585,0.8882464388830112,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,air_quality,2.0,median,0.23472493687969276,0.1418892354373087,route_non_privsaf,ldp_window_glr,0.08070908616618107,1.076121148882414,0.07531603955722474,1.0042138607629965,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.053993411911470696,0.7199121588196091,0.050851629302738,0.6780217240365065,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,2.0,median,0.23211724261182937,0.13791035195588325,route_non_privsaf,ldp_window_glr,0.12239681601324867,1.6319575468433154,0.06898422667628822,0.9197896890171761,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.06596418114957205,0.8795224153276271,0.054499046393405325,0.7266539519120709,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,2.0,median,0.25533477790589687,0.16200722225669406,route_non_privsaf,ldp_window_glr,0.09392667708104102,1.25235569441388,0.05801523807152977,0.7735365076203968,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.043929352330039,0.5857246977338533,0.04564747180165221,0.6086329573553627,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,2.0,median,0.21898065782180332,0.1296278305415485,use_privsaf,privsaf_hmm,0.5209137798568615,6.945517064758152,0.05703608231400094,0.7604810975200124,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.5209137798568615,6.945517064758152,0.05703608231400094,0.7604810975200124,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,2.0,median,0.20459751871671494,0.10755589407251799,route_non_privsaf,ldp_distribution_surprise,0.06492663813292032,0.8656885084389375,0.06494813066811345,0.8659750755748459,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.05513944613913665,0.7351926151884886,0.0604014283571127,0.8053523780948358,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,air_quality,2.0,min_tv_column,0.2294769527802181,0.1314233474388794,route_non_privsaf,ldp_window_glr,0.08002823356340608,1.0670431141787475,0.0799330556668418,1.0657740755578906,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.058199748600913655,0.7759966480121819,0.05571204027219599,0.7428272036292798,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,2.0,min_tv_column,0.2264291177609738,0.13468844139391992,route_non_privsaf,ldp_window_glr,0.11073025938232484,1.4764034584309975,0.07214195573811555,0.9618927431748738,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.06199701096967132,0.8266268129289508,0.05169894561563002,0.6893192748750668,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,2.0,min_tv_column,0.25533477790589687,0.16200722225669406,route_non_privsaf,ldp_window_glr,0.08683461074851508,1.157794809980201,0.059401846088047,0.7920246145072932,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.04385070858179145,0.5846761144238859,0.045674826794846475,0.608997690597953,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,2.0,min_tv_column,0.21367108038317748,0.1221860594519572,use_privsaf,privsaf_hmm,0.36722076783793467,4.896276904505795,0.08304550154623885,1.1072733539498512,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.36722076783793467,4.896276904505795,0.08304550154623885,1.1072733539498512,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,2.0,min_tv_column,0.20021654734957373,0.10166162438128498,route_non_privsaf,ldp_window_glr,0.06609548864790424,0.8812731819720564,0.062296088149783116,0.8306145086637747,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.05512350326011607,0.7349800434682142,0.061570907283811656,0.8209454304508219,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,air_quality,2.0,mode_bucket,0.2889604942701924,0.23031091866028217,use_privsaf,privsaf_hmm,0.22812759786515013,3.041701304868668,0.12178426288094521,1.623790171745936,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.22812759786515013,3.041701304868668,0.12178426288094521,1.623790171745936,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,beijing_air,2.0,mode_bucket,0.30887351924906853,0.2673402234773921,use_privsaf,privsaf_hmm,0.21346159831261138,2.8461546441681516,0.11088411123382616,1.4784548164510152,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.21346159831261138,2.8461546441681516,0.11088411123382616,1.4784548164510152,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,bike_sharing,2.0,mode_bucket,0.322153763886125,0.26700021428074766,route_non_privsaf,ldp_window_glr,0.2455655100212899,3.274206800283865,0.09853967790314386,1.3138623720419178,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.0449851034988313,0.5998013799844173,0.045963607372025914,0.6128480982936788,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,household_power,2.0,mode_bucket,0.22680718170522768,0.13994706983695043,use_privsaf,privsaf_hmm,0.21831071659749382,2.9108095546332504,0.0890274630544835,1.1870328407264465,0.07500000000000001,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.21831071659749382,2.9108095546332504,0.0890274630544835,1.1870328407264465,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_central_segment,nab,2.0,mode_bucket,0.20459751871671494,0.10755589407251799,route_non_privsaf,ldp_distribution_surprise,0.06538716194641617,0.8718288259522154,0.0648584791236458,0.8647797216486105,0.07500000000000001,0,1,separation_pass_validation_route,synthetic_audit_bucket,results/reviewer_stress_runs.csv,0.0551303140133049,0.7350708535107319,0.06042051025043994,0.8056068033391991,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_tail_segment,air_quality,2.0,tail_q05,0.32082107491973694,0.2978430751611665,use_privsaf,privsaf_hmm,0.6492417062114304,3.2444050818732313,0.5986705348372694,2.9916897004784655,0.2001111728738188,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/icde_revision_detection_runs.csv,0.6492417062114304,3.2444050818732313,0.5986705348372694,2.9916897004784655,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_tail_segment,beijing_air,2.0,tail_q05,0.30887351924906853,0.26734022347739217,use_privsaf,privsaf_hmm,0.7884410730847079,3.9422053654235394,0.7095471229418931,3.5477356147094654,0.2,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/icde_revision_detection_runs.csv,0.7884410730847079,3.9422053654235394,0.7095471229418931,3.5477356147094654,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_tail_segment,bike_sharing,2.0,tail_q05,0.3221537638861251,0.2670002142807477,use_privsaf,privsaf_hmm,0.967907872090068,4.83953936045034,0.973600569240079,4.868002846200395,0.2,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/icde_revision_detection_runs.csv,0.967907872090068,4.83953936045034,0.973600569240079,4.868002846200395,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_tail_segment,household_power,2.0,tail_q05,0.26209864422831025,0.19136705406664561,use_privsaf,privsaf_hmm,0.8956072424548677,4.478036212274338,0.9160038397528536,4.580019198764267,0.2,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/icde_revision_detection_runs.csv,0.8956072424548677,4.478036212274338,0.9160038397528536,4.580019198764267,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_tail_segment,nab,2.0,tail_q05,0.5708946893999644,0.8530422184369298,use_privsaf,privsaf_hmm,0.5893936741633441,2.9469683708167205,0.6439071309140654,3.219535654570327,0.2,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/icde_revision_detection_runs.csv,0.5893936741633441,2.9469683708167205,0.6439071309140654,3.219535654570327,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
controlled_tail_segment,air_quality,2.0,tail_q95,0.5338905373602715,0.7499076461846117,use_privsaf,privsaf_hmm,0.9809386832763068,4.901968586705767,0.9957871092019095,4.976169470706209,0.2001111728738188,0,1,separation_pass_privsaf_validation_selected,synthetic_audit_bucket,results/icde_revision_detection_runs.csv,0.9809386832763068,4.901968586705767,0.9957871092019095,4.976169470706209,0.1,0.03,2.0,fixed_diagnostic_thresholds_not_tuned_on_test_labels,final_reporting_and_false_accept_audit_only
