dataset,stream,fault_mode,stuck_value_type,epsilon,method,calibration_condition,rows,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,TV_sep_mean,KL_sep_mean,ratio_MAE_mean,bucket_hit1_mean,fault_rate_mean,segment_length_min,segment_length_max
nab,value,segment_stuck,min_tv_column,0.5,privsaf_hmm,matched_train,12,0.4492773649014512,0.08497178167307373,0.07192313579604992,0.02708053608338799,0.03484203939575137,0.004129773796234438,0.024661194832040018,0.0,0.075,12,24
nab,value,segment_stuck,min_tv_column,0.5,privsaf_mixture,matched_train,12,0.4781237985975742,0.04412995722163148,0.0721497678471796,0.027614390117052738,0.03484203939575137,0.004129773796234438,0.17012626262626263,0.08333333333333333,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,1.0,ldp_distribution_surprise,matched_train,12,0.47578617405782975,0.02553208609118224,0.07287400633126458,0.025800820929130056,0.09412291014520852,0.026727129028135826,,,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,1.0,ldp_window_glr,matched_train,12,0.44568869124972926,0.10573173492235437,0.08562134030627412,0.04312541048030046,0.09412291014520852,0.026727129028135826,0.10597222222222223,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,1.0,privsaf_hmm,matched_train,12,0.30791490686593026,0.0772030030261892,0.05309513687918654,0.018590300650562518,0.09412291014520852,0.026727129028135826,0.1056915011071675,0.0,0.075,12,24
air_quality,C6H6(GT),segment_stuck,min_tv_column,1.0,privsaf_mixture,matched_train,12,0.433514474361057,0.021017660315957632,0.065412179920271,0.022604162604166974,0.09412291014520852,0.026727129028135826,0.29568181818181816,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,1.0,ldp_distribution_surprise,matched_train,12,0.4901655735596708,0.027675077797285386,0.07420600804778944,0.02601908984026192,0.08779010972176231,0.023366539905774798,,,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,1.0,ldp_window_glr,matched_train,12,0.5386589472330517,0.1371376266968561,0.09251001421306272,0.033712412250342376,0.08779010972176231,0.023366539905774798,0.1111111111111111,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,1.0,privsaf_hmm,matched_train,12,0.4152436308750271,0.12908046081726893,0.0640953315900538,0.02485266961638904,0.08779010972176231,0.023366539905774798,0.07142792355440152,0.0,0.075,12,24
beijing_air,Aotizhongxin PM2.5,segment_stuck,min_tv_column,1.0,privsaf_mixture,matched_train,12,0.4808774806421919,0.03279585909326423,0.07358895052970373,0.02611245424558386,0.08779010972176231,0.023366539905774798,0.3345959595959596,0.08333333333333333,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,1.0,ldp_distribution_surprise,matched_train,12,0.4060878445148364,0.028862142236753995,0.062223414562955125,0.021920452141408465,0.10352043784605798,0.029950973393751176,,,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,1.0,ldp_window_glr,matched_train,12,0.33902456275720166,0.11928137485333938,0.06513867245911366,0.0236392160070389,0.10352043784605798,0.029950973393751176,0.1095138888888889,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,1.0,privsaf_hmm,matched_train,12,0.23523747157244965,0.10268348233874044,0.04791678933909437,0.018443459058486007,0.10352043784605798,0.029950973393751176,0.05494085754904066,0.0,0.075,12,24
bike_sharing,cnt,segment_stuck,min_tv_column,1.0,privsaf_mixture,matched_train,12,0.41454219799111974,0.034807538567581675,0.0637446389085728,0.023134330173725997,0.10352043784605798,0.029950973393751176,0.22366161616161617,0.0,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,1.0,ldp_distribution_surprise,matched_train,12,0.4748912984622049,0.023422949151291426,0.07195833971900922,0.026367658788954935,0.08937252626960852,0.025978219953142073,,,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,1.0,ldp_window_glr,matched_train,12,0.5548547318334416,0.15041296620038863,0.11058195836702155,0.03807951120292446,0.08937252626960852,0.025978219953142073,0.12027777777777778,0.0,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,1.0,privsaf_hmm,matched_train,12,0.5041791206411089,0.13454499256474384,0.11682209054294161,0.07816436005146885,0.08937252626960852,0.025978219953142073,0.01570217379748515,0.0,0.075,12,24
household_power,Global_active_power hourly sample,segment_stuck,min_tv_column,1.0,privsaf_mixture,matched_train,12,0.5078017042993286,0.035308162232321194,0.078696547540292,0.02781314060450405,0.08937252626960852,0.025978219953142073,0.08047979797979798,0.16666666666666666,0.075,12,24
nab,value,segment_stuck,min_tv_column,1.0,ldp_distribution_surprise,matched_train,12,0.46408454827268786,0.024543585596583872,0.0715888138452453,0.025068174943937985,0.07919215719736539,0.017926918806133327,,,0.075,12,24
nab,value,segment_stuck,min_tv_column,1.0,ldp_window_glr,matched_train,12,0.41586683723196877,0.06916097241534103,0.07275228020936904,0.026337743934745073,0.07919215719736539,0.017926918806133327,0.109375,0.0,0.075,12,24
nab,value,segment_stuck,min_tv_column,1.0,privsaf_hmm,matched_train,12,0.4634746250270738,0.05875218413514286,0.0669202519852169,0.02480897877791647,0.07919215719736539,0.017926918806133327,0.08040851002205422,0.0,0.075,12,24
