panel,dataset_id,dataset,case,epsilon,seed,method,calibration,label_rule,n_calibration,n_test,fault_rows,fault_rate,normalization_p01,normalization_p99,auroc,auprc,recall_at_5pct_fpr,precision_at_k,estimated_bucket,estimated_fault_rate,runtime_sec
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,0,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.7045128418317151,0.06430246064369165,0.0695970695970696,0.031135531135531136,19,0.6094756634774093,0.8035188000067137
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.43291165741327753,0.030507813449537957,0.045787545787545784,0.02197802197802198,6,0.19274337051343257,0.006252000006497838
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.9528874546987228,0.36187207122124376,0.681929181929182,0.42063492063492064,19,0.20001302026821752,0.1319796000025235
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.9021639735628125,0.2722622831690998,0.6031746031746031,0.31684981684981683,4,0.20001302026821752,0.7905747000040719
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.5055346982041249,0.03255093190251377,0.006105006105006105,0.005494505494505495,25,0.1689587031271908,4.658030599995982
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,privsaf_mixture,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6027639740683122,0.05027425648589451,0.13553113553113552,0.07142857142857142,20,0.03787878787878788,0.012679599996772595
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,privsaf_hmm_global,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.45921619930485014,0.029739734066730937,0.006105006105006105,0.005494505494505495,28,0.10612359829365867,0.8750631000002613
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,1,privsaf_hmm_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6688540649142755,0.05739187825113645,0.05555555555555555,0.027472527472527472,19,0.6143420685527579,0.9242879999947036
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,pm_column_likelihood_scan,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.43681790526696473,0.030416341649221326,0.03663003663003663,0.02564102564102564,6,0.1940453973351851,0.006307800009381026
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,pm_llr_cusum,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.9454913779907029,0.41180973307202084,0.7075702075702076,0.4426129426129426,0,0.20001302026821752,0.1635422999970615
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,pm_window_glr,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.8944999614831313,0.22474432523299862,0.5494505494505495,0.24114774114774115,4,0.19977431535089624,0.7711765999993077
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,generic_pm_hmm,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.5053872791475167,0.03269106127905475,0.018315018315018316,0.010378510378510378,25,0.17648319866899678,4.5488425999938045
iors_real_stuck_qc_pmldp,iors_slh_qc,I-ORS sea level height QC,2007,2.0,2,privsaf_mixture,previous_year_good_qc_rows,SLH_QC_5_episode_length_ge_8,50000,46082,1638,0.03554533223384402,0.030000000000000027,2.5200000000000005,0.6174334476861252,0.05116042635150739,0.12759462759462759,0.06837606837606838,19,0.03787878787878788,0.012463999999454245
