panel,method,epsilon,buckets,cases,runs,case_mean_auroc,case_mean_auprc,case_mean_auprc_ci95_low,case_mean_auprc_ci95_high,row_weighted_auroc,row_weighted_auprc,recall_at_1pct_fpr_mean,recall_at_5pct_fpr_mean,precision_at_top_1pct_mean,precision_at_top_5pct_mean,runtime_sec_mean
coops_verified_flat_full_protocol,privsaf_hmm_fixed_prior,2.0,32,7,14,0.5440722159192568,0.09334241961299432,0.019868574244908503,0.20594237562352835,0.5440722159192567,0.09334241961299432,0.017557404460645475,0.10403032958948458,0.09876966518757564,0.08662667514169183,0.19431524336063635
coops_verified_flat_full_protocol,privsaf_range_hmm_r1_fixed_prior,2.0,32,7,14,0.5449815890740385,0.09072032872615958,0.013645930307892037,0.20654732157180705,0.5449815890740385,0.09072032872615958,0.019862986319085847,0.10529089513614465,0.10691487634451388,0.09039787216332584,0.19426014743554074
coops_verified_flat_full_protocol,privsaf_range_hmm_r2_fixed_prior,2.0,32,7,14,0.5149943608017423,0.08793222733316179,0.010618222450310062,0.20311623004505336,0.5149943608017423,0.08793222733316179,0.0139324030083106,0.06660784172175634,0.09725737007186899,0.07744979619582353,0.19414693292596244
coops_verified_flat_full_protocol,channel_window_glr_5,2.0,32,7,14,0.4896714118658491,0.08353978892455848,0.008029318486126825,0.2016019101769333,0.4896714118658491,0.08353978892455848,0.006563790639318008,0.03712092366112837,0.08034186714890339,0.08354900822026994,0.0003362567180634609
coops_verified_flat_full_protocol,report_frequency,2.0,32,7,14,0.4911735153493296,0.08165532325851868,0.008064128387864153,0.197645305799913,0.4911735153493296,0.08165532325851868,0.002091373519564726,0.042280250591074764,0.05161684681940546,0.07937414398462388,0.0002784864960371384
coops_verified_flat_full_protocol,channel_point_glr,2.0,32,7,14,0.48133540730821556,0.08143198641876383,0.007673741523830616,0.19731778176714607,0.48133540730821556,0.08143198641876383,0.0019027269027269028,0.038059290075685266,0.027687266919676302,0.07622556809153026,1.8193278395171675e-05
coops_verified_flat_full_protocol,privsaf_hmm_fixed_prior,4.0,16,7,14,0.6083325987938494,0.09454803511106934,0.019317448694309656,0.208433568835414,0.6083325987938494,0.09454803511106934,0.035806136116473604,0.11469299645601147,0.12275281297136308,0.09093446611124985,0.09841793878669185
coops_verified_flat_full_protocol,privsaf_range_hmm_r1_fixed_prior,4.0,16,7,14,0.5378537449125197,0.08981608923115057,0.013276267002362544,0.2052886792659561,0.5378537449125197,0.08981608923115057,0.02051273710221863,0.08328834875731501,0.12561228606004726,0.08287277183769318,0.09853489214063822
coops_verified_flat_full_protocol,privsaf_range_hmm_r2_fixed_prior,4.0,16,7,14,0.5429887100840072,0.08933276845744838,0.01229792226132785,0.2050302460194164,0.5429887100840072,0.08933276845744838,0.01914218067204334,0.07717788304927664,0.12541059182850228,0.07962913567355011,0.09866068857705354
coops_verified_flat_full_protocol,channel_window_glr_5,4.0,16,7,14,0.5370501361411961,0.08636823819569776,0.01021690120005848,0.2052955706141515,0.5370501361411961,0.08636823819569776,0.006200145484719103,0.04601530905480655,0.08956464460195804,0.09723084543420632,0.000327121142098414
coops_verified_flat_full_protocol,report_frequency,4.0,16,7,14,0.5372706737746601,0.08352076980663234,0.010010161561508161,0.1986298702582796,0.5372706737746601,0.08352076980663234,0.002195052195052195,0.0236420490812059,0.004190357735133854,0.08437382554059815,0.0002795337100646326
coops_verified_flat_full_protocol,channel_point_glr,4.0,16,7,14,0.5395252266598719,0.08327858374953724,0.010016796969220185,0.1984614018387754,0.5395252266598719,0.08327858374953724,0.002195052195052195,0.04536019579935262,0.004190357735133854,0.08653990702695613,1.779849948694131e-05
coops_verified_flat_full_protocol,privsaf_hmm_fixed_prior,4.0,24,40,80,0.6401381906345651,0.018757130796459364,0.004343850182663653,0.04365393163689879,0.6401381906345651,0.018757130796459364,0.014061654873846191,0.0847365681426612,0.01526443554428629,0.017408590011829723,0.1505903224882786
coops_verified_flat_full_protocol,channel_window_glr_5,4.0,24,40,80,0.5112531552065412,0.01710296259756488,0.002720708757493361,0.04083652744992708,0.5112531552065412,0.01710296259756488,0.008992479000204168,0.03438529313887033,0.0161982178073596,0.01621135476808447,0.00033828491177700926
coops_verified_flat_full_protocol,privsaf_range_hmm_r1_fixed_prior,4.0,24,40,80,0.5398595603156181,0.016976894654332747,0.002756815627695703,0.041256171313645756,0.5398595603156181,0.016976894654332747,0.00801209980878351,0.058792953035196625,0.014093034265608892,0.015706257614280416,0.150876243213861
coops_verified_flat_full_protocol,privsaf_range_hmm_r2_fixed_prior,4.0,24,40,80,0.5240909867245677,0.016789762658965778,0.0026600391761094047,0.040976333201823825,0.5240909867245677,0.016789762658965778,0.004049494296686355,0.059837399966552,0.015230085495943704,0.015343839936790438,0.15084210756431277
coops_verified_flat_full_protocol,report_frequency,4.0,24,40,80,0.5047978703589375,0.016616216277217898,0.0025954598835899938,0.0405459843495395,0.5047978703589375,0.016616216277217898,0.008224805421363394,0.05436869331224575,0.001777430415490117,0.018029225594575985,0.0002798746267217211
coops_verified_flat_full_protocol,channel_point_glr,4.0,24,40,80,0.5008862710646531,0.01646682283825985,0.002600753590267281,0.04013297340210741,0.5008862710646531,0.01646682283825985,0.011349805421363393,0.04990752394618508,0.002115268253327955,0.017154206834754666,1.817153788579162e-05
coops_verified_flat_full_protocol,privsaf_hmm_fixed_prior,4.0,32,7,14,0.621486820198185,0.09560466580205841,0.020884233536586912,0.2134201876734127,0.621486820198185,0.09560466580205841,0.03676997703560037,0.12663431830790503,0.11250715762975891,0.0950861091563062,0.1971907034977838
coops_verified_flat_full_protocol,privsaf_range_hmm_r1_fixed_prior,4.0,32,7,14,0.5416785827291944,0.08941435026094943,0.013483364999968871,0.20661721922794088,0.5416785827291944,0.08941435026094943,0.02249768779312056,0.09865624595545053,0.10169711289114274,0.08808049823563092,0.19789512807203988
coops_verified_flat_full_protocol,privsaf_range_hmm_r2_fixed_prior,4.0,32,7,14,0.5400011071100997,0.08868634777196517,0.01234568657931612,0.2063900803892708,0.5400011071100997,0.08868634777196517,0.015810099364341888,0.08084606125540864,0.10469371290266813,0.08425585937007359,0.1979014589991753
