panel,tier,method,epsilon,buckets,cases,runs,total_test_rows,total_fault_rows,pooled_prevalence,mean_precision_at_top_1pct,precision_at_top_1pct_ci95_low,precision_at_top_1pct_ci95_high,lift_top_1pct_vs_prevalence,mean_precision_at_top_5pct,precision_at_top_5pct_ci95_low,precision_at_top_5pct_ci95_high,lift_top_5pct_vs_prevalence,mean_recall_at_5pct_fpr
coops_verified_flat_full_protocol,all_ge_5,channel_point_glr,4.0,24,40,80,291283,4556,0.015641146239224395,0.002115268253327955,0.0005067567567567568,0.004399455425574829,0.13523741936657743,0.017154206834754666,0.0014875324434556916,0.04391023646203012,1.0967359151553653,0.04990752394618508
coops_verified_flat_full_protocol,all_ge_5,report_frequency,4.0,24,40,80,291283,4556,0.015641146239224395,0.001777430415490117,0.00033783783783783786,0.0038120209762000806,0.11363811758454956,0.018029225594575985,0.0015024961597542243,0.043670941147129966,1.1526793061599818,0.05436869331224575
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r1_fixed_prior,2.0,24,33,66,241363,309,0.0012802293640698864,0.003357903357903358,0.0006142506142506142,0.0070024570024570035,2.622892000561904,0.002334554427157319,0.0011996889013018046,0.0036192477238083465,1.8235438841487768,0.08265881754024047
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r2_fixed_prior,2.0,24,33,66,241363,309,0.0012802293640698864,0.001643689143689144,0.00041518791518791516,0.0030826280826280823,1.2839020802208507,0.0019086396033003376,0.0008580427935266646,0.0031488410242581544,1.4908575423021988,0.06383993330633647
coops_verified_flat_full_protocol,support_5_to_24,privsaf_hmm_fixed_prior,2.0,24,33,66,241363,309,0.0012802293640698864,0.0014506389506389506,0.0004095004095004095,0.002678815178815179,1.1331086376798352,0.002709259286011233,0.001508363201911589,0.004232978120631069,2.1162296085745282,0.10009677410863183
coops_verified_flat_full_protocol,support_5_to_24,channel_window_glr_5,2.0,24,33,66,241363,309,0.0012802293640698864,0.0014332514332514334,0.00020475020475020476,0.0030712530712530715,1.1195270734105687,0.0014379520080298723,0.0009476485282936895,0.002012430571941139,1.1231987395278773,0.05560339601841578
coops_verified_flat_full_protocol,support_5_to_24,channel_point_glr,2.0,24,33,66,241363,309,0.0012802293640698864,0.0006356424266872029,0.0,0.0013140684782475829,0.4965066764805934,0.0010880211485050195,0.000637422613229065,0.0016029631957051311,0.8498642345197962,0.04359126271181608
coops_verified_flat_full_protocol,support_5_to_24,report_frequency,2.0,24,33,66,241363,309,0.0012802293640698864,0.00043089222193699807,0.0,0.0010879264610607895,0.3365742374219407,0.0014636330664556472,0.0009998215643376935,0.0019106434933047836,1.1432584719059367,0.060023609825981365
coops_verified_flat_full_protocol,support_5_to_24,privsaf_hmm_fixed_prior,4.0,24,33,66,241363,309,0.0012802293640698864,0.0018427518427518428,0.0006142506142506142,0.003276003276003276,1.439391951527874,0.002098264278464501,0.0014464925755248335,0.002789314566288982,1.6389752784563991,0.08197721799500456
coops_verified_flat_full_protocol,support_5_to_24,channel_point_glr,4.0,24,33,66,241363,309,0.0012802293640698864,0.0014332514332514334,0.0004095004095004095,0.002866502866502867,1.1195270734105687,0.0013115957498604884,0.0006191877993880219,0.002039302929180571,1.0245005986199907,0.049380284113485697
coops_verified_flat_full_protocol,support_5_to_24,channel_window_glr_5,4.0,24,33,66,241363,309,0.0012802293640698864,0.0012341887341887343,0.00020475020475020476,0.002673127673127673,0.9640372021035453,0.0008186705767350928,0.0003706419028999674,0.0013495166720973173,0.6394718006877418,0.03371454522640294
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r1_fixed_prior,4.0,24,33,66,241363,309,0.0012802293640698864,0.0012341887341887343,0.00020475020475020476,0.0022636272636272635,0.9640372021035453,0.0014744216357119584,0.0008200282393830781,0.0021668295861844247,1.1516855315868784,0.05648815940317917
coops_verified_flat_full_protocol,support_5_to_24,report_frequency,4.0,24,33,66,241363,309,0.0012802293640698864,0.0010237510237510238,0.0004095004095004095,0.0018427518427518428,0.7996621952932633,0.0012695082077729463,0.0007344954925600088,0.0018803627674595417,0.9916255972579342,0.04793412194597965
coops_verified_flat_full_protocol,support_5_to_24,privsaf_range_hmm_r2_fixed_prior,4.0,24,33,66,241363,309,0.0012802293640698864,0.00041518791518791516,0.0,0.001035126035126035,0.32430744586893456,0.0014350494189203868,0.000860758118822635,0.002131530357336809,1.120931498054632,0.05930517294153658
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r2_fixed_prior,2.0,24,7,14,49920,4247,0.0850761217948718,0.12491034668539999,0.02382790954219526,0.27515855407646456,1.468218626450475,0.09725537508292156,0.011953237913630413,0.22416154633896568,1.1431571283587108,0.10523794203076649
coops_verified_flat_full_protocol,support_ge_25,privsaf_range_hmm_r1_fixed_prior,2.0,24,7,14,49920,4247,0.0850761217948718,0.12460880008854423,0.0331116526212475,0.26858184715327577,1.4646741936473104,0.08712530803941895,0.01607691463682247,0.20413740765123253,1.0240865027849761,0.11547895218310877
